District,Year,S.No,Size Group(HA),Total No. of Operational Holdings,Estimated No. of Holdings that took insititutional credit,No. of OH that took credit from PACS,No.of OH that took credit from PLDB/SLDB,No.of OH that took credit from CBB,No. of OH that took credit from RRBB,Amount of Credit through Short-Term Loans,Amount of credit through medium-term loans,Amount of credit through long-term loans,Amount of ST-Loans from PLDB/SLDB,Amount of MT-Loans from PLDB/SLDB,Amount of LT-Loans from PLDB/SLDB,Amount of ST-Loans from PAC/CBB,Amount of MT-Loans from PAC/CBB,Amount of LT-Loans from PAC/CBB,Amount of ST-Loans from RRBB,Amount of MT-Loans from RRBB,Amount of LT-Loans from RRBB,Total Amount of ST-Loans,Total Amount of MT-Loans,Total Amount of LT-Loans,Total_Loan_(ST+MT+LT),"In the ST-Loan, Value of the quanitity of fertiliser given","In ST-Loan, Value of quantity of other inputs","In ST-Loan, amoutn given in cash","In ST-Loan, Total",Total
north & middle andamans,2011,1,MARGINAL (BELOW 1.0),2033,1072,197,0,875,0,3953055,0,0,0,0,0,6211944,14278182,11176671,0,0,0,10164999,14278182,11176671,35619852,0,0,10164999,10164999,28
north & middle andamans,2011,2,SMALL (1.0 - 1.99),1050,384,119,0,265,0,2392405,0,0,0,0,0,2106645,3498573,3149268,0,0,0,4499050,3498573,3149268,11146891,0,0,4499050,4499050,13
north & middle andamans,2011,3,SEMI-MEDIUM (2.0 - 3.99),1742,181,18,0,163,0,362916,0,0,0,0,0,0,2995804,4199272,0,0,0,362916,2995804,4199272,7557992,181458,90729,90729,362916,18
north & middle andamans,2011,4,MEDIUM (4.0 - 9.99),1186,124,0,0,107,17,0,0,0,0,0,0,0,2302816,2929581,898484,0,0,898484,2302816,2929581,6130881,0,0,898484,898484,17
north & middle andamans,2011,5,LARGE (10 AND ABOVE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
north & middle andaman,2016,1,MARGINAL (BELOW 1.0),2264,744,744,0,744,0,13124704,0,0,0,0,0,13124704,0,0,0,0,0,26249408,0,0,26249408,0,0,26249408,26249408,226
north & middle andaman,2016,2,SMALL (1.0 - 1.99),1240,691,612,0,691,0,10545643,0,0,0,0,0,13249654,0,0,0,0,0,23795297,0,0,23795297,0,0,23795297,23795297,284
north & middle andaman,2016,3,SEMI-MEDIUM (2.0 - 3.99),1625,438,365,0,438,0,6357036,0,0,0,0,0,8899851,0,0,0,0,0,15256887,0,0,15256887,0,0,15256887,15256887,564
north & middle andaman,2016,4,MEDIUM (4.0 - 9.99),971,420,319,0,420,0,5465483,0,0,0,0,0,8943518,0,0,0,0,0,14409001,0,0,14409001,0,0,14409001,14409001,241
north & middle andaman,2016,5,LARGE (10 AND ABOVE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
north & middle andamans,2006,1,MARGINAL (BELOW 1.0),1938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
north & middle andamans,2006,2,SMALL (1.0 - 1.99),792,375,156,0,239,0,2516684,0,0,0,0,0,3334736,1203631,802421,0,0,0,5851420,1203631,802421,7857472,0,0,5851420,5851420,10
north & middle andamans,2006,3,SEMI-MEDIUM (2.0 - 3.99),1731,499,134,0,365,0,2154133,0,0,0,0,0,3962066,6923999,3850513,0,0,0,6116199,6923999,3850513,16890711,0,0,6116199,6116199,19
north & middle andamans,2006,4,MEDIUM (4.0 - 9.99),1254,127,21,0,106,0,354945,0,0,0,0,0,425084,5719515,4250847,0,0,0,780029,5719515,4250847,10750391,0,0,780029,780029,21
north & middle andamans,2006,5,LARGE (10 AND ABOVE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
south andaman,2016,1,MARGINAL (BELOW 1.0),2607,890,731,0,890,0,12629499,0,0,0,0,0,18120586,0,0,0,0,0,30750085,0,0,30750085,0,0,30750086,30750086,351
south andaman,2016,2,SMALL (1.0 - 1.99),1203,692,662,0,692,0,11524550,0,0,0,0,0,12572237,0,0,0,0,0,24096787,0,0,24096787,0,0,24096787,24096787,255
south andaman,2016,3,SEMI-MEDIUM (2.0 - 3.99),1119,396,354,0,396,0,6045966,0,0,0,0,0,7496998,0,0,0,0,0,13542964,0,0,13542964,0,0,13542964,13542964,437
south andaman,2016,4,MEDIUM (4.0 - 9.99),162,108,108,0,108,0,1935468,0,0,0,0,0,1935468,0,0,0,0,0,3870936,0,0,3870936,0,0,3870936,3870936,108
south andaman,2016,5,LARGE (10 AND ABOVE),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adilabad,2011,1,MARGINAL (BELOW 1.0),259151,110441,25490,2655,54166,31862,671243573,0,0,0,50449477,0,1086522430,5310471,0,578310325,0,0,2336076328,55759948,0,2391836276,346508253,266320136,1723247939,2336076328,1593
adilabad,2011,2,SMALL (1.0 - 1.99),143928,82396,18619,1182,39602,25711,727176270,0,0,0,33100484,17732402,1209054307,12412681,0,911445486,0,0,2847676063,45513165,17732402,2910921630,362036550,337506726,2148132787,2847676063,295
adilabad,2011,3,SEMI-MEDIUM (2.0 - 3.99),90756,51445,9873,759,24492,18037,672885489,0,0,0,55061171,0,1165967773,0,0,871447465,3797322,0,2710300727,58858493,0,2769159220,317835865,280052510,2112412352,2710300727,568
adilabad,2011,4,MEDIUM (4.0 - 9.99),23982,14618,3288,113,6690,5045,315961432,0,0,0,13039858,0,411719347,0,5386028,372032822,0,0,1099713601,13039858,5386028,1118139487,127847304,134934184,836932113,1099713601,283
adilabad,2011,5,LARGE (10 AND ABOVE),2120,1226,235,0,777,400,29915555,0,0,0,0,0,56415555,0,0,37099999,1413333,0,123431109,1413333,0,124844442,17666666,13073333,92691110,123431109,46
ananthapur,2011,1,MARGINAL (BELOW 1.0),258796,225912,35538,0,29160,167670,337163802,0,0,0,0,0,325226381,0,0,2258086225,123019225,59231478,2920476408,123019225,59231478,3102727111,0,0,2920476408,2920476408,23691
ananthapur,2011,2,SMALL (1.0 - 1.99),243448,230517,25716,857,37717,174871,624049802,0,0,0,30859605,0,787262828,77149014,14572591,4947051946,261451151,0,6358364576,369459770,14572591,6742396937,0,0,6358364576,6358364576,16286
ananthapur,2011,3,SEMI-MEDIUM (2.0 - 3.99),175061,167001,21574,616,29587,120816,752022605,0,0,0,0,123282394,1125629901,90365995,0,5349654579,355053295,15410299,7227307085,445419290,138692693,7811419068,0,30820598,7196486487,7227307085,17874
ananthapur,2011,4,MEDIUM (4.0 - 9.99),45623,44111,5908,0,7877,32494,318868665,0,0,0,0,0,437783865,55666624,16411151,2373216556,178881546,180522661,3129869086,234548170,196933812,3561351068,0,7385017,3122484069,3129869086,10173
ananthapur,2011,5,LARGE (10 AND ABOVE),4309,4016,448,0,758,3412,41194040,0,0,0,0,0,42055840,10410544,3895336,425315536,37057400,17236000,508565416,47467944,21131336,577164696,0,0,508565416,508565416,997
chittoor,2011,1,MARGINAL (BELOW 1.0),455188,111677,65327,4214,16858,29502,1472512106,0,0,0,136977870,0,194930046,242345462,0,795525324,391967444,21073518,2462967476,771290776,21073518,3255331770,14751462,13170949,2435045065,2462967476,1053
chittoor,2011,2,SMALL (1.0 - 1.99),144426,63620,29625,1346,11109,22556,1151368111,0,0,0,65648181,0,191221370,404864120,19189468,525858769,400285580,74064615,1868448250,870797881,93254083,2832500214,21882727,14476265,1832089258,1868448250,3702
chittoor,2011,3,SEMI-MEDIUM (2.0 - 3.99),54976,28924,13811,804,5095,10190,803588214,0,0,0,81793560,0,107806595,182158282,0,285741112,207567921,109281560,1197135921,471519763,109281560,1777937244,8715707,4693073,1183727141,1197135921,2010
chittoor,2011,4,MEDIUM (4.0 - 9.99),11505,6338,3078,121,1134,2349,244805334,0,0,0,12963380,0,27344630,47802464,16204225,58821337,121045563,16204225,330971301,181811407,32408450,545191158,6279137,2633186,322058978,330971301,769
chittoor,2011,5,LARGE (10 AND ABOVE),1042,412,161,29,102,176,10302591,0,0,0,1174084,0,9172535,3595633,0,1834507,10383309,6457464,21309633,15153026,6457464,42920123,0,0,21309633,21309633,86
east godavari,2011,1,MARGINAL (BELOW 1.0),562114,160586,90163,1408,7044,64805,1699021263,0,0,0,14088070,0,77484385,0,0,1035036427,42264210,774843859,2811542075,56352280,774843859,3642738214,152573799,110168708,2548799568,2811542075,90163
east godavari,2011,2,SMALL (1.0 - 1.99),86548,46261,22708,1285,3856,21636,1013618469,0,0,0,55699207,0,104971584,27849603,0,716538175,71766287,175666732,1835128228,155315097,175666732,2166110057,91796579,53878272,1689453377,1835128228,14781
east godavari,2011,3,SEMI-MEDIUM (2.0 - 3.99),36988,21334,9624,471,943,12266,582362849,0,0,0,14719714,4765035,32553214,4717857,0,514529499,23589285,239667142,1129445562,43026856,244432177,1416904595,73740107,35478285,1020227170,1129445562,5849
east godavari,2011,4,MEDIUM (4.0 - 9.99),11294,7176,2621,121,443,4759,171749471,0,0,0,5445321,0,19361142,5041964,3226857,264521613,14063046,167554556,455632226,24550331,170781413,650963970,22729174,12544407,420358645,455632226,2218
east godavari,2011,5,LARGE (10 AND ABOVE),934,635,261,56,56,298,21631440,0,0,0,1120800,0,1868000,934000,0,11450840,1682134,934000,34950280,3736934,934000,39621214,1120800,0,33829480,34950280,93
guntur,2011,1,MARGINAL (BELOW 1.0),536431,323686,53180,9248,16185,249717,1687907887,0,0,0,161854181,0,658977737,0,0,8195602066,319083956,138732155,10542487690,480938137,138732155,11162157982,857827159,6936607,9677723924,10542487690,85550
guntur,2011,2,SMALL (1.0 - 1.99),150703,121941,21528,2609,5219,94597,1467886363,0,0,0,104383030,0,548010909,0,0,5686917968,337940060,0,7702815240,442323090,0,8145138330,48277151,38491242,7616046847,7702815240,49581
guntur,2011,3,SEMI-MEDIUM (2.0 - 3.99),58157,45199,7105,0,2105,36315,624200922,0,0,0,0,0,271048461,0,0,3165214460,178681461,0,4060463843,178681461,0,4239145304,38157307,4210461,4018096075,4060463843,15525
guntur,2011,4,MEDIUM (4.0 - 9.99),14150,11779,1901,0,532,10270,293954838,0,0,0,0,0,99658602,0,0,1290693010,128947580,0,1684306450,128947580,0,1813254030,1977956,5249193,1677079301,1684306450,4715
guntur,2011,5,LARGE (10 AND ABOVE),448,243,55,0,37,223,4591999,0,0,0,0,0,9706666,0,0,43306666,3733333,0,57605331,3733333,0,61338664,0,0,57605331,57605331,0
kadapa,2011,1,MARGINAL (BELOW 1.0),241718,130090,13428,0,42804,73858,256825374,0,0,0,0,0,756208048,0,0,1387696323,0,0,2400729745,0,0,2400729745,0,0,2400729745,2400729745,31892
kadapa,2011,2,SMALL (1.0 - 1.99),123469,84400,10717,428,29581,44586,465581020,0,0,0,21435590,0,941279640,0,0,1508208131,0,0,2915068791,21435590,0,2936504381,0,0,2915068791,2915068791,17147
kadapa,2011,3,SEMI-MEDIUM (2.0 - 3.99),62287,43033,4791,0,14591,24827,282251580,0,0,0,0,0,724402165,0,0,1345377420,0,5226881,2352031165,0,5226881,2357258046,0,0,2352031165,2352031165,8928
kadapa,2011,4,MEDIUM (4.0 - 9.99),12947,9884,1269,63,3490,5394,92469504,0,0,0,22212990,0,227270622,0,0,453525793,12693137,0,773265919,34906127,0,808172046,0,0,773265919,773265919,1712
kadapa,2011,5,LARGE (10 AND ABOVE),867,497,74,24,272,173,4384542,0,0,0,2353285,0,35497457,0,0,22294285,0,0,62176284,2353285,0,64529569,0,0,62176284,62176284,197
karimnagar,2011,1,MARGINAL (BELOW 1.0),447034,214825,87400,12895,8596,114624,1951045505,0,0,0,251026784,169070551,149011333,0,0,2480179019,120355307,0,4580235857,371382091,169070551,5120688499,587448525,279396249,3713391083,4580235857,114622
karimnagar,2011,2,SMALL (1.0 - 1.99),145003,99886,36250,6971,11154,52981,1631423175,0,0,0,249433045,28675272,169634919,48334333,13942596,2216408035,138496455,46475320,4017466129,436263833,89093188,4542823150,464753205,241671666,3311041258,4017466129,47869
karimnagar,2011,3,SEMI-MEDIUM (2.0 - 3.99),55386,41145,12367,4122,6094,23122,662570708,0,0,0,200393359,23301553,184440757,33159902,12546990,1450252834,151460097,8962315,2297264299,385013358,44810858,2727088515,277467728,188993522,1830803049,2297264299,20612
karimnagar,2011,4,MEDIUM (4.0 - 9.99),13822,10150,3054,1345,1501,5746,173173611,0,0,0,89496155,24434396,80240074,17031602,20189438,404306441,13666696,20965955,657720126,120194453,65589789,843504368,38090740,21193733,598435653,657720126,5072
karimnagar,2011,5,LARGE (10 AND ABOVE),1075,611,169,150,94,396,19610263,0,0,0,5401403,7789035,6412280,0,0,62708333,1885964,5280701,88730876,7287367,13069736,109087979,17365964,13107456,58257456,88730876,565
khammam,2011,1,MARGINAL (BELOW 1.0),291090,95074,58714,0,10750,26462,1007237556,0,0,0,0,0,229894943,0,0,504445738,16539204,0,1741578237,16539204,0,1758117441,0,0,1741578237,1741578237,52924
khammam,2011,2,SMALL (1.0 - 1.99),105949,54921,30788,1207,7546,18110,741642999,0,0,0,54332820,0,193485210,0,0,468469652,30184900,0,1403597861,84517720,0,1488115581,0,0,1403597861,1403597861,20827
khammam,2011,3,SEMI-MEDIUM (2.0 - 3.99),54382,28126,13839,1302,5535,9932,569708436,0,0,0,87922993,0,173566502,0,0,391908604,18724341,0,1135183542,106647334,0,1241830876,0,0,1135183542,1135183542,9768
khammam,2011,4,MEDIUM (4.0 - 9.99),15514,8421,3256,473,1776,3908,207307305,0,0,0,40857480,0,114773993,0,0,202747847,9474198,0,524829145,50331678,0,575160823,0,0,524829145,524829145,2605
khammam,2011,5,LARGE (10 AND ABOVE),1242,532,270,31,191,286,23295461,0,0,0,3980769,0,21018461,2388461,0,21368769,955384,0,65682691,7324614,0,73007305,0,0,65682691,65682691,238
krishna,2011,1,MARGINAL (BELOW 1.0),396405,218136,172650,1381,8287,51104,2992098088,0,0,0,6906010,0,101518353,20718031,0,944742229,55248083,138120209,4038358670,82872124,138120209,4259351003,153313432,40054860,3844990378,4038358670,201655
krishna,2011,2,SMALL (1.0 - 1.99),97698,72483,46572,3501,5602,25212,1658694933,0,0,0,62330623,0,231113548,0,19259462,769590607,171584301,122560215,2659399088,233914924,141819677,3035133689,9279559,38448890,2611670639,2659399088,49024
krishna,2011,3,SEMI-MEDIUM (2.0 - 3.99),43868,33619,21165,1877,2048,13143,1205158082,0,0,0,36698910,4267315,52914708,53426785,8534630,614834770,198003424,34138521,1872907560,288129119,46940466,2207977145,3755237,26901154,1842251169,1872907560,20824
krishna,2011,4,MEDIUM (4.0 - 9.99),12894,8921,5784,487,557,3693,517237581,0,0,0,20560702,0,26275881,25300118,3484864,183966015,185394810,52272972,727479477,231255630,55757836,1014492943,1881827,6788516,718809134,727479477,4948
krishna,2011,5,LARGE (10 AND ABOVE),677,463,430,107,30,246,42497136,0,0,0,4808238,0,0,1230909,0,9924204,11539772,35003977,52421340,17578919,35003977,105004236,461590,384659,51575091,52421340,276
kurnool,2011,1,MARGINAL (BELOW 1.0),282402,144356,29504,0,28450,88514,393044574,0,0,0,0,0,335088940,0,21074776,946257447,0,405689440,1674390961,0,426764216,2101155177,0,0,1674390961,1674390961,11590
kurnool,2011,2,SMALL (1.0 - 1.99),187696,134467,26613,0,30115,81241,583048208,0,0,0,0,0,903111910,0,49025074,1689964358,0,506008805,3176124476,0,555033879,3731158355,0,0,3176124476,3176124476,8403
kurnool,2011,3,SEMI-MEDIUM (2.0 - 3.99),112414,85056,16778,838,18036,53690,568781283,0,0,0,48237350,0,905184372,0,0,1624550081,0,654350149,3098515736,48237350,654350149,3801103235,2936186,1677820,3093901730,3098515736,9225
kurnool,2011,4,MEDIUM (4.0 - 9.99),46246,35766,7891,183,7157,23673,365563619,0,0,0,3670317,0,590370563,0,0,1161104928,4587896,446861150,2117039110,8258213,446861150,2572158473,9175793,5505476,2102357841,2117039110,3301
kurnool,2011,5,LARGE (10 AND ABOVE),4091,3153,584,0,1100,1787,31009092,0,0,0,0,0,99868529,0,0,138853352,0,12032352,269730973,0,12032352,281763325,0,0,269730973,269730973,308
mahabubnagar,2011,1,MARGINAL (BELOW 1.0),569131,306755,152725,1305,57435,95290,2465799217,0,0,0,0,13053463,52213853,61351277,660505243,454260522,93984935,835421651,2972273592,155336212,1508980357,4636590161,143588096,52213853,2776471643,2972273592,279342
mahabubnagar,2011,2,SMALL (1.0 - 1.99),249386,188113,92661,1715,33175,61202,2353437378,0,0,0,54338692,0,75502183,132700807,487904261,719558688,64634444,1141684532,3148498249,251673943,1629588793,5029760985,259109766,48618830,2840769653,3148498249,165302
mahabubnagar,2011,3,SEMI-MEDIUM (2.0 - 3.99),124199,95913,48711,1709,14527,31334,1678110800,0,0,0,85458027,0,9115522,89730928,322746483,520724247,31334610,769606509,2207950569,206523565,1092352992,3506827126,133741813,23785817,2050422939,2207950569,99699
mahabubnagar,2011,4,MEDIUM (4.0 - 9.99),36011,28469,15535,359,3951,8800,771766917,0,0,0,16164538,0,10776359,20654688,136500548,224776890,0,339455311,1007320166,36819226,475955859,1520095251,46338344,6286209,954695613,1007320166,32506
mahabubnagar,2011,5,LARGE (10 AND ABOVE),3573,2845,1857,117,188,775,132012947,0,0,0,27502697,0,940263,1762993,8462368,36082598,0,42311842,169035808,29265690,50774210,249075708,6205736,352598,162477474,169035808,3360
medak,2011,1,MARGINAL (BELOW 1.0),465052,284762,9144,14369,95361,169822,130632584,0,0,0,182885617,6531629,688433719,543431550,0,2547204760,182885617,19594887,3366271063,909202784,26126516,4301600363,21554376,0,3344716687,3366271063,125406
medak,2011,2,SMALL (1.0 - 1.99),148848,116164,7526,6271,31358,72751,129196719,0,0,0,182506044,0,524312898,393025617,37630112,2505433786,106618651,25086741,3158943403,682150312,62716853,3903810568,4181123,8362247,3146400033,3158943403,69824
medak,2011,3,SEMI-MEDIUM (2.0 - 3.99),53307,41531,2443,1374,11302,27340,54223452,0,0,0,74385412,0,258592409,227814872,0,1331398075,80800581,12219369,1644213936,383000865,12219369,2039434170,0,0,1644213936,1644213936,27797
medak,2011,4,MEDIUM (4.0 - 9.99),15383,11372,851,532,3193,7132,20759065,0,0,0,35663010,0,135466211,86894255,0,469525355,33959702,36142065,625750631,156516967,36142065,818409663,266141,532283,624952207,625750631,8941
medak,2011,5,LARGE (10 AND ABOVE),1769,1298,108,36,595,559,5686071,0,0,0,2707653,0,44351357,14151999,0,55200020,5054285,541530,105237448,21913937,541530,127692915,0,0,105237448,105237448,703
nalgonda,2011,1,MARGINAL (BELOW 1.0),445237,199541,97734,0,6787,95020,1682534333,0,0,0,0,0,138457847,0,0,1592265246,40722896,0,3413257426,40722896,0,3453980322,1230510184,378722935,1804024307,3413257426,77373
nalgonda,2011,2,SMALL (1.0 - 1.99),191492,120216,58381,0,5254,58381,1764879011,0,0,0,0,0,61884609,0,0,1770133365,37948109,0,3596896985,37948109,0,3634845094,1303663524,210174146,2083059315,3596896985,43202
nalgonda,2011,3,SEMI-MEDIUM (2.0 - 3.99),91343,61740,28192,0,2819,30729,1305584669,0,0,0,0,0,48772651,0,0,1354921166,71890324,0,2709278486,71890324,0,2781168810,968404953,261060549,1479812984,2709278486,20016
nalgonda,2011,4,MEDIUM (4.0 - 9.99),26822,18129,7807,0,918,9920,431540259,0,0,0,0,0,29669541,0,27556849,549575431,23423321,0,1010785231,23423321,27556849,1061765401,345930314,147429143,517425774,1010785231,7255
nalgonda,2011,5,LARGE (10 AND ABOVE),2159,1256,524,0,20,712,41398300,0,0,0,0,0,419223,0,0,40455048,13100728,0,82272571,13100728,0,95373299,37415679,4821067,40035825,82272571,565
nellore,2011,1,MARGINAL (BELOW 1.0),308471,116020,30386,0,19336,66298,437384253,0,0,0,0,0,294428663,0,18416179,1160679688,0,0,1892492604,0,18416179,1910908783,0,0,1892492604,1892492604,34069
nellore,2011,2,SMALL (1.0 - 1.99),92110,62048,10203,275,11031,40539,309974970,0,0,0,8273353,0,513306416,0,0,1466589760,0,0,2289871146,8273353,0,2298144499,11031137,0,2278840009,2289871146,8273
nellore,2011,3,SEMI-MEDIUM (2.0 - 3.99),40327,28866,5040,0,4911,19387,223608044,0,0,0,0,0,344130195,0,12925320,1319933730,0,0,1887671969,0,12925320,1900597289,7755192,0,1879916777,1887671969,3489
nellore,2011,4,MEDIUM (4.0 - 9.99),13584,9122,2116,0,999,6409,124608207,0,0,0,0,0,143375885,0,5880519,616513662,14701298,0,884497754,14701298,5880519,905079571,10173298,12937142,861387314,884497754,882
nellore,2011,5,LARGE (10 AND ABOVE),1857,1075,195,0,130,814,23945526,0,0,0,0,0,32578947,0,0,100994736,6515789,0,157519209,6515789,0,164034998,0,0,157519209,157519209,0
nizamabad,2011,1,MARGINAL (BELOW 1.0),319411,241858,10726,0,8342,225256,195460462,0,0,0,0,0,153746339,0,0,2928450627,0,0,3277657428,0,0,3277657428,44097787,50056947,3183502694,3277657428,3574
nizamabad,2011,2,SMALL (1.0 - 1.99),112828,98472,4210,842,1684,92620,141877000,0,0,0,46310000,0,43784000,0,0,2319289000,12630000,71570000,2504950000,58940000,71570000,2635460000,21892000,21892000,2461166000,2504950000,842
nizamabad,2011,3,SEMI-MEDIUM (2.0 - 3.99),34508,31070,2561,269,1078,27498,93009843,0,0,0,20219531,0,59984609,0,0,1019200519,26959375,9435781,1172194971,47178906,9435781,1228809658,22106687,21567500,1128520784,1172194971,404
nizamabad,2011,4,MEDIUM (4.0 - 9.99),6291,5435,639,35,177,4584,25945932,0,0,0,1777118,0,14394660,0,0,235095024,5864491,0,275435616,7641609,0,283077225,7197330,7908177,260330109,275435616,106
nizamabad,2011,5,LARGE (10 AND ABOVE),418,349,58,0,29,262,2099720,0,0,0,0,0,2828790,0,0,13628744,972093,0,18557254,972093,0,19529347,1219976,1608813,15728465,18557254,9
prakasam,2011,1,MARGINAL (BELOW 1.0),378919,115020,53959,1199,10791,55159,1130161890,0,0,0,23982215,0,263804367,0,0,1630790632,59955537,0,3024756889,83937752,0,3108694641,0,0,3024756889,3024756889,94728
prakasam,2011,2,SMALL (1.0 - 1.99),170066,92492,40901,0,10225,42516,1545663139,0,0,0,0,0,836875411,0,0,2688226803,0,0,5070765353,0,0,5070765353,0,0,5070765353,5070765353,39286
prakasam,2011,3,SEMI-MEDIUM (2.0 - 3.99),93359,61542,25434,0,5984,30820,1704699432,0,0,0,0,0,595462852,0,0,2494660201,29922756,44884134,4794822485,29922756,44884134,4869629375,0,0,4794822485,4794822485,30519
prakasam,2011,4,MEDIUM (4.0 - 9.99),25998,19173,7147,89,1965,10542,732500349,0,0,0,26802061,0,216203298,6253814,0,1236736473,47797010,37969587,2185440120,80852885,37969587,2304262592,0,0,2185440120,2185440120,12237
prakasam,2011,5,LARGE (10 AND ABOVE),2043,1589,350,0,103,1176,41788636,0,0,0,0,0,14239090,0,0,169734090,0,1031818,225761816,0,1031818,226793634,0,0,225761816,225761816,638
rangareddy,2011,1,MARGINAL (BELOW 1.0),199940,81955,29821,0,17621,35921,548310033,0,0,0,0,0,243994576,0,36734738,762483050,32532610,0,1554787659,32532610,36734738,1624055007,105561542,91870735,1357355382,1554787659,63030
rangareddy,2011,2,SMALL (1.0 - 1.99),87946,49177,19684,0,11429,18732,561012931,0,0,0,0,0,309557220,7937364,28574512,641656555,0,0,1512226706,7937364,28574512,1548738582,117711117,115647402,1278868187,1512226706,31429
rangareddy,2011,3,SEMI-MEDIUM (2.0 - 3.99),41470,22201,9163,621,4504,8231,369502359,0,0,0,49701872,0,139320561,931910,15065880,375792752,4659550,0,884615672,55293332,15065880,954974884,37198745,44110411,803306516,884615672,17083
rangareddy,2011,4,MEDIUM (4.0 - 9.99),11794,6126,2179,223,1397,2571,108549516,0,0,0,30742653,5589573,57013649,3912701,8943317,159638217,30742653,0,325201382,65398007,14532890,405132279,7490028,29401156,288310198,325201382,5476
rangareddy,2011,5,LARGE (10 AND ABOVE),1376,718,211,21,42,444,15876923,0,0,0,317538,0,1058461,0,317538,39692307,20110769,0,56627691,20428307,317538,77373536,0,1058461,55569230,56627691,591
srikakulam,2011,1,MARGINAL (BELOW 1.0),427352,273320,59668,2418,132237,82245,595067501,0,0,0,16126490,24189735,1114501763,0,0,1013066137,64909124,0,2722635401,81035614,24189735,2827860750,10482218,4837947,2707315236,2722635401,9675
srikakulam,2011,2,SMALL (1.0 - 1.99),70788,59892,11386,685,26202,22635,320878162,0,0,0,4115581,10974883,603083579,8917093,0,627598725,37369479,0,1551560466,50402153,10974883,1612937502,11249255,10974883,1529336328,1551560466,7682
srikakulam,2011,3,SEMI-MEDIUM (2.0 - 3.99),21731,18573,3630,325,8237,6719,172682871,0,0,0,11922244,11261101,315652204,20863927,0,264028940,20701351,0,752364015,53487522,11261101,817112638,4660513,1246416,746457086,752364015,3305
srikakulam,2011,4,MEDIUM (4.0 - 9.99),5134,4661,754,21,2394,1574,56376928,0,0,0,1078571,0,145956599,2157142,0,108072856,3839714,0,310406383,7075427,0,317481810,431428,3774999,306199956,310406383,1358
srikakulam,2011,5,LARGE (10 AND ABOVE),357,341,29,0,223,89,1487500,0,0,0,0,0,18437562,0,0,15767500,0,0,35692562,0,0,35692562,0,0,35692562,35692562,74
visakhapatnam,2011,1,MARGINAL (BELOW 1.0),360771,47224,33290,774,5806,7354,388641720,0,0,0,17419200,0,13548267,35999681,67741335,0,116128004,197417607,402189987,169546885,265158942,836895814,5806400,1935466,394448121,402189987,15870
visakhapatnam,2011,2,SMALL (1.0 - 1.99),68886,12468,6082,0,2433,3953,155335648,0,0,0,0,0,7983476,21137205,11404966,0,91239735,150925728,163319124,112376940,162330694,438026758,3725622,0,159593502,163319124,3345
visakhapatnam,2011,3,SEMI-MEDIUM (2.0 - 3.99),32285,5564,2372,77,1361,1828,72913533,0,0,0,3889759,0,3111807,22249421,0,0,40842469,72157947,76025340,66981649,72157947,215164936,777951,0,75247389,76025340,777
visakhapatnam,2011,4,MEDIUM (4.0 - 9.99),11527,2359,874,0,853,670,27953483,0,0,0,0,0,0,14779768,5082451,0,24700714,17790104,27953483,39480482,22872555,90306520,101649,0,27851834,27953483,182
visakhapatnam,2011,5,LARGE (10 AND ABOVE),1058,313,75,12,151,75,4055666,0,0,0,1259523,0,0,4156428,0,0,3337738,1259523,4055666,8753689,1259523,14068878,0,0,4055666,4055666,0
vizianagaram,2011,1,MARGINAL (BELOW 1.0),345417,140213,49118,1584,38027,60210,760551192,0,0,0,0,35650837,524463426,7922408,0,838190793,31689633,138642144,2123205411,39612041,174292981,2337110433,1584481,0,2121620930,2123205411,35650
vizianagaram,2011,2,SMALL (1.0 - 1.99),67192,46016,11015,944,16207,20928,244377461,0,0,0,0,23603747,357832805,24390538,0,397254997,50354660,32258454,999465263,74745198,55862201,1130072662,0,0,999465263,999465263,9756
vizianagaram,2011,3,SEMI-MEDIUM (2.0 - 3.99),26133,18836,5174,261,7270,8383,140030962,0,0,0,0,5894661,218888436,8841992,0,245021436,9824436,26525977,603940834,18666428,32420638,655027900,2161375,0,601779459,603940834,3733
vizianagaram,2011,4,MEDIUM (4.0 - 9.99),7426,5178,1669,142,2060,2025,56174669,0,0,0,1421244,5329665,102471693,1954210,0,88543502,2131866,2842488,247189864,5507320,8172153,260869337,532966,0,246656898,247189864,1136
vizianagaram,2011,5,LARGE (10 AND ABOVE),566,311,113,0,113,141,7641000,0,0,0,0,0,5094000,0,0,13867000,0,0,26602000,0,0,26602000,0,0,26602000,26602000,141
warangal,2011,1,MARGINAL (BELOW 1.0),444884,179987,35122,8780,57073,86342,600739743,0,0,0,49756763,0,702448421,84879184,29268684,1409287144,131709078,0,2712475308,266345025,29268684,3008089017,132148109,58830055,2521497144,2712475308,58537
